Index,Video,Question,Answer
0,videos/5454.1.13.mp4,Is the camera completely still without any visible movement?,Yes
1,videos/0OFBj7EjZ-g.0.7.mp4,Is the camera completely still without any visible movement?,No
2,videos/5454.1.13.mp4,Is the camera not completely still and shows visible movement?,No
3,videos/0OFBj7EjZ-g.0.7.mp4,Is the camera not completely still and shows visible movement?,Yes
4,videos/5qKYrajRNwo.2.4.mp4,Is the camera completely still without any visible movement?,Yes
5,videos/016570694b24f7fefbc284e65d330e11e053542bd6ae8c24194ac0823b82c1eb.1.mp4,Is the camera completely still without any visible movement?,No
6,videos/5qKYrajRNwo.2.4.mp4,Is the camera not completely still and shows visible movement?,No
7,videos/016570694b24f7fefbc284e65d330e11e053542bd6ae8c24194ac0823b82c1eb.1.mp4,Is the camera not completely still and shows visible movement?,Yes
8,videos/CQYQKehqjgI.3.mp4,Is the camera completely still without any visible movement?,Yes
9,videos/z7HxJaKjVlU.0.1.mp4,Is the camera completely still without any visible movement?,No
10,videos/CQYQKehqjgI.3.mp4,Is the camera not completely still and shows visible movement?,No
11,videos/z7HxJaKjVlU.0.1.mp4,Is the camera not completely still and shows visible movement?,Yes
12,videos/027bd84e297a500c52d35ab4a67f37e62007e76483baad5687496911e441d65d.3.mp4,Is the camera completely still without any visible movement?,Yes
13,videos/MuNyfqxAO6Y.8.5.mp4,Is the camera completely still without any visible movement?,No
14,videos/027bd84e297a500c52d35ab4a67f37e62007e76483baad5687496911e441d65d.3.mp4,Is the camera not completely still and shows visible movement?,No
15,videos/MuNyfqxAO6Y.8.5.mp4,Is the camera not completely still and shows visible movement?,Yes
16,videos/l5RWa1D00ck.0.1.mp4,Is the camera completely still without any visible movement?,Yes
17,videos/IWv0EhEGmNI.3.5.mp4,Is the camera completely still without any visible movement?,No
18,videos/l5RWa1D00ck.0.1.mp4,Is the camera not completely still and shows visible movement?,No
19,videos/IWv0EhEGmNI.3.5.mp4,Is the camera not completely still and shows visible movement?,Yes
20,videos/lz5xvWTodyw.8.0.mp4,Is the camera completely still without any visible movement?,Yes
21,videos/JGiXuXc3cao.3.4.mp4,Is the camera completely still without any visible movement?,No
22,videos/lz5xvWTodyw.8.0.mp4,Is the camera not completely still and shows visible movement?,No
